invoice_id;user_id;customer_id;amount
1;jesparza2;369814086-1;7069.22
2;aepelett6;369814086-1;4079.84
3;aepelett6;244174503-4;2207.3
4;rmarchenko8;604150177-8;4122.22
5;ksandcroft1;408840891-8;7858.86
6;ksandcroft1;408840891-8;4598.92
7;jesparza2;604150177-8;1924.22
8;cmayes5;604150177-8;722.9
9;nbernholt7;921481382-5;9802.79
10;nbernholt7;369814086-1;3353.72
11;gvasilmanov0;236198775-9;7576.97
12;clangstaff9;244174503-4;7648.97
13;aepelett6;921481382-5;5354.04
14;cmayes5;837274956-6;3295.29
15;cmayes5;837274956-6;9944.22
16;ahenaughan3;671688460-2;8792.89
17;gvasilmanov0;837274956-6;8312.92
18;ksandcroft1;244174503-4;4123.59
19;ksandcroft1;837274956-6;3750.07
20;rmarchenko8;369814086-1;7750.76
21;jesparza2;671688460-2;2749.19
22;cmayes5;408840891-8;6952.97
23;cmayes5;408840891-8;7696.61
24;aepelett6;604150177-8;777.04
25;jesparza2;408840891-8;3409.22
26;cmayes5;017137369-3;1727.48
27;clangstaff9;236198775-9;7354.52
28;clangstaff9;017137369-3;8991.07
29;jesparza2;724222419-5;1069.59
30;aroyle4;408840891-8;9950.78
31;ksandcroft1;017137369-3;6663.94
32;ahenaughan3;604150177-8;4304.77
33;clangstaff9;369814086-1;684.28
34;rmarchenko8;236198775-9;5573.65
35;nbernholt7;604150177-8;965.87
36;aroyle4;408840891-8;4222.12
37;rmarchenko8;369814086-1;3823.96
38;jesparza2;017137369-3;8504.59
39;nbernholt7;604150177-8;3778.64
40;clangstaff9;408840891-8;1043.83
41;ksandcroft1;724222419-5;695.27
42;aroyle4;724222419-5;7327.73
43;jesparza2;604150177-8;6048.48
44;rmarchenko8;244174503-4;5718.42
45;rmarchenko8;244174503-4;2243.68
46;ksandcroft1;236198775-9;5978.93
47;jesparza2;671688460-2;8154.64
48;aepelett6;837274956-6;5077.03
49;gvasilmanov0;724222419-5;2690.7
50;ahenaughan3;369814086-1;9139.53
51;aroyle4;244174503-4;2842.03
52;ksandcroft1;724222419-5;1598.08
53;clangstaff9;244174503-4;281.96
54;nbernholt7;408840891-8;628.48
55;aepelett6;921481382-5;2066.02
56;aepelett6;604150177-8;3512.35
57;nbernholt7;408840891-8;3914.17
58;nbernholt7;244174503-4;8019.19
59;ahenaughan3;408840891-8;2611.28
60;aepelett6;724222419-5;8669.48
61;aepelett6;369814086-1;7980.07
62;aepelett6;671688460-2;7705.76
63;nbernholt7;837274956-6;8516.74
64;aepelett6;236198775-9;3646.06
65;clangstaff9;244174503-4;9829.92
66;jesparza2;017137369-3;2780.03
67;gvasilmanov0;604150177-8;291.69
68;cmayes5;408840891-8;2841.16
69;ahenaughan3;837274956-6;3297.18
70;jesparza2;604150177-8;8295.72
71;ahenaughan3;369814086-1;9467.9
72;clangstaff9;921481382-5;8199.03
73;aroyle4;724222419-5;144.93
74;gvasilmanov0;369814086-1;2137.64
75;rmarchenko8;921481382-5;8152.68
76;jesparza2;921481382-5;9739.6
77;gvasilmanov0;724222419-5;2892.12
78;ksandcroft1;244174503-4;8712.28
79;cmayes5;236198775-9;4928.94
80;rmarchenko8;236198775-9;9463.86
81;nbernholt7;017137369-3;1935.09
82;cmayes5;921481382-5;6767.07
83;cmayes5;408840891-8;8283.08
84;jesparza2;671688460-2;6301.07
85;rmarchenko8;236198775-9;7548.11
86;jesparza2;837274956-6;9281.43
87;aroyle4;724222419-5;6100.18
88;aroyle4;724222419-5;3830.68
89;ahenaughan3;604150177-8;4866.05
90;nbernholt7;236198775-9;710.89
91;clangstaff9;244174503-4;3314.39
92;clangstaff9;604150177-8;8338.06
93;clangstaff9;244174503-4;1206.22
94;jesparza2;236198775-9;2669.87
95;cmayes5;724222419-5;9268.43
96;rmarchenko8;724222419-5;6923.2
97;clangstaff9;408840891-8;5746.27
98;clangstaff9;236198775-9;756.71
99;ksandcroft1;671688460-2;4020.71
100;aroyle4;244174503-4;8245.71
101;ahenaughan3;369814086-1;8214.59
102;aepelett6;408840891-8;1587.71
103;aroyle4;837274956-6;2316.38
104;jesparza2;921481382-5;5751.03
105;gvasilmanov0;408840891-8;7556.56
106;rmarchenko8;369814086-1;2652.39
107;ksandcroft1;017137369-3;3626.1
108;rmarchenko8;017137369-3;9660.86
109;aroyle4;236198775-9;7581.73
110;gvasilmanov0;604150177-8;9068.19
111;clangstaff9;837274956-6;590.44
112;clangstaff9;604150177-8;9484.1
113;nbernholt7;369814086-1;7005.45
114;nbernholt7;604150177-8;9781.8
115;cmayes5;017137369-3;2969.78
116;gvasilmanov0;017137369-3;3254.89
117;ahenaughan3;837274956-6;1843.24
118;ahenaughan3;604150177-8;2453.82
119;gvasilmanov0;921481382-5;2866.22
120;clangstaff9;604150177-8;7374.89
121;nbernholt7;724222419-5;1037.3
122;jesparza2;921481382-5;602.7
123;aroyle4;236198775-9;1438.59
124;gvasilmanov0;921481382-5;6311.41
125;ksandcroft1;604150177-8;2597.49
126;gvasilmanov0;244174503-4;5898.12
127;aepelett6;408840891-8;5262.91
128;jesparza2;369814086-1;6814.56
129;clangstaff9;017137369-3;1179.5
130;gvasilmanov0;837274956-6;4047.48
131;gvasilmanov0;236198775-9;4864.39
132;clangstaff9;837274956-6;3459.51
133;ksandcroft1;017137369-3;6280.91
134;aroyle4;724222419-5;4369.97
135;clangstaff9;017137369-3;7155.79
136;jesparza2;236198775-9;2205.55
137;rmarchenko8;671688460-2;6046.49
138;nbernholt7;369814086-1;6154.81
139;aepelett6;369814086-1;8441.07
140;nbernholt7;921481382-5;9725.33
141;nbernholt7;921481382-5;1036.05
142;aepelett6;604150177-8;7996.62
143;rmarchenko8;408840891-8;1132.03
144;ahenaughan3;921481382-5;3562.66
145;ahenaughan3;604150177-8;6509.29
146;ksandcroft1;921481382-5;5399.58
147;jesparza2;921481382-5;6496.19
148;ksandcroft1;671688460-2;6785.29
149;ksandcroft1;837274956-6;9174.38
150;aepelett6;837274956-6;4348.5
151;ahenaughan3;921481382-5;4342.6
152;clangstaff9;369814086-1;8154.56
153;rmarchenko8;408840891-8;3554.18
154;jesparza2;604150177-8;7713.87
155;jesparza2;408840891-8;9447.2
156;clangstaff9;017137369-3;3847.77
157;aroyle4;837274956-6;7834.35
158;aepelett6;244174503-4;9969.41
159;clangstaff9;671688460-2;7643.26
160;gvasilmanov0;671688460-2;4819.11
161;clangstaff9;408840891-8;557.93
162;jesparza2;408840891-8;5735.68
163;clangstaff9;408840891-8;453.33
164;gvasilmanov0;369814086-1;1074.51
165;aepelett6;724222419-5;2552.1
166;nbernholt7;408840891-8;6219.55
167;clangstaff9;408840891-8;890.1
168;ahenaughan3;017137369-3;5668.69
169;jesparza2;604150177-8;8460.84
170;clangstaff9;017137369-3;8102.95
171;gvasilmanov0;671688460-2;2663.34
172;rmarchenko8;408840891-8;5618.33
173;ahenaughan3;369814086-1;8515.82
174;nbernholt7;604150177-8;7253.1
175;clangstaff9;236198775-9;1677.03
176;jesparza2;408840891-8;4061.3
177;jesparza2;604150177-8;3232.21
178;aroyle4;236198775-9;7332.08
179;jesparza2;017137369-3;812.03
180;aepelett6;017137369-3;1988.8
181;cmayes5;236198775-9;6323.73
182;rmarchenko8;236198775-9;5917.78
183;ksandcroft1;921481382-5;9728.98
184;aroyle4;244174503-4;9105.05
185;cmayes5;017137369-3;9550.09
186;cmayes5;921481382-5;5949.83
187;rmarchenko8;724222419-5;349.98
188;ahenaughan3;369814086-1;6604.67
189;nbernholt7;408840891-8;4997.99
190;gvasilmanov0;604150177-8;1591.6
191;ahenaughan3;604150177-8;5443.96
192;clangstaff9;244174503-4;2004.7
193;rmarchenko8;837274956-6;8285.72
194;gvasilmanov0;837274956-6;244.4
195;ksandcroft1;236198775-9;7333.26
196;ahenaughan3;724222419-5;2033.07
197;clangstaff9;671688460-2;7502.62
198;nbernholt7;369814086-1;6783.36
199;ksandcroft1;724222419-5;6279.94
200;ksandcroft1;604150177-8;1021.26
201;ahenaughan3;837274956-6;806.41
202;nbernholt7;408840891-8;7941.71
203;nbernholt7;017137369-3;4532.05
204;nbernholt7;244174503-4;2318.06
205;aepelett6;017137369-3;7588.33
206;aepelett6;724222419-5;9009.01
207;gvasilmanov0;671688460-2;6070.51
208;jesparza2;671688460-2;4907.33
209;gvasilmanov0;671688460-2;9096.1
210;ahenaughan3;604150177-8;7409.77
211;clangstaff9;244174503-4;4271.74
212;gvasilmanov0;724222419-5;3666.07
213;rmarchenko8;369814086-1;5715.53
214;nbernholt7;837274956-6;9701.97
215;ahenaughan3;017137369-3;5533.89
216;jesparza2;604150177-8;4869.36
217;aroyle4;724222419-5;9676.34
218;aroyle4;017137369-3;3703.22
219;clangstaff9;837274956-6;9788.54
220;aroyle4;017137369-3;9907.83
221;rmarchenko8;837274956-6;8120.04
222;aroyle4;671688460-2;4646.03
223;clangstaff9;369814086-1;9102.27
224;gvasilmanov0;244174503-4;2358.64
225;cmayes5;604150177-8;8184.08
226;nbernholt7;837274956-6;6247.49
227;ksandcroft1;921481382-5;2243.28
228;gvasilmanov0;369814086-1;9952.45
229;jesparza2;837274956-6;3140.71
230;ksandcroft1;408840891-8;2852.81
231;ksandcroft1;017137369-3;68.84
232;cmayes5;244174503-4;5153.12
233;cmayes5;671688460-2;7649.14
234;cmayes5;671688460-2;1178.12
235;ksandcroft1;604150177-8;7116.17
236;aroyle4;604150177-8;3316.82
237;rmarchenko8;671688460-2;665.05
238;rmarchenko8;017137369-3;2070.63
239;cmayes5;369814086-1;8145.56
240;aepelett6;837274956-6;8840.56
241;aepelett6;236198775-9;1951.75
242;ahenaughan3;017137369-3;7665.66
243;aroyle4;236198775-9;5314.73
244;rmarchenko8;017137369-3;8662.96
245;rmarchenko8;244174503-4;1730.85
246;ahenaughan3;837274956-6;4939.34
247;nbernholt7;369814086-1;7267.1
248;clangstaff9;921481382-5;9341.37
249;cmayes5;017137369-3;1779.19
250;ksandcroft1;604150177-8;380.24
251;jesparza2;408840891-8;719.52
252;rmarchenko8;244174503-4;3702.71
253;ksandcroft1;017137369-3;3076.32
254;aepelett6;921481382-5;6264.48
255;clangstaff9;408840891-8;1797.66
256;ksandcroft1;369814086-1;2465.2
257;rmarchenko8;604150177-8;9054.02
258;ksandcroft1;017137369-3;6944.38
259;ahenaughan3;017137369-3;9684.38
260;gvasilmanov0;244174503-4;3827.07
261;rmarchenko8;604150177-8;8735.44
262;clangstaff9;369814086-1;8609.28
263;aepelett6;921481382-5;8480.65
264;aroyle4;017137369-3;345.61
265;cmayes5;837274956-6;4592.93
266;ksandcroft1;017137369-3;7166.39
267;clangstaff9;408840891-8;1581.59
268;gvasilmanov0;837274956-6;9113.5
269;rmarchenko8;724222419-5;3600.14
270;nbernholt7;236198775-9;6227.76
271;rmarchenko8;671688460-2;9400.18
272;nbernholt7;369814086-1;2125.96
273;ksandcroft1;671688460-2;4498.16
274;jesparza2;837274956-6;3690.66
275;jesparza2;921481382-5;7164.44
276;gvasilmanov0;236198775-9;383.31
277;ksandcroft1;236198775-9;4510.29
278;clangstaff9;369814086-1;2515.43
279;aepelett6;921481382-5;2503.81
280;gvasilmanov0;837274956-6;5438.83
281;jesparza2;244174503-4;4752.06
282;clangstaff9;724222419-5;6232.44
283;aepelett6;244174503-4;1052.03
284;ahenaughan3;017137369-3;3032.95
285;cmayes5;724222419-5;6975.34
286;gvasilmanov0;921481382-5;7223.42
287;ahenaughan3;837274956-6;2313.98
288;aepelett6;921481382-5;6574.99
289;ahenaughan3;604150177-8;2851.1
290;aroyle4;369814086-1;2114.43
291;ksandcroft1;017137369-3;2873.61
292;aepelett6;236198775-9;1692.37
293;clangstaff9;369814086-1;1295.87
294;ahenaughan3;671688460-2;6377.95
295;aroyle4;244174503-4;7239.26
296;aroyle4;837274956-6;3817.18
297;rmarchenko8;837274956-6;9996.23
298;aroyle4;017137369-3;3463.34
299;cmayes5;837274956-6;7747.72
300;nbernholt7;369814086-1;3112.5
301;clangstaff9;408840891-8;5296.35
302;rmarchenko8;837274956-6;8263.67
303;aroyle4;017137369-3;7047.83
304;aroyle4;244174503-4;7397.45
305;nbernholt7;671688460-2;8965.34
306;gvasilmanov0;671688460-2;1145.21
307;ksandcroft1;017137369-3;7477.49
308;gvasilmanov0;236198775-9;3976.45
309;cmayes5;921481382-5;2081.16
310;rmarchenko8;408840891-8;9179.58
311;ksandcroft1;369814086-1;8185.84
312;clangstaff9;244174503-4;8944.54
313;nbernholt7;604150177-8;13.59
314;aroyle4;408840891-8;6454.56
315;rmarchenko8;837274956-6;7846.84
316;ksandcroft1;408840891-8;9829.98
317;jesparza2;236198775-9;9166.76
318;nbernholt7;921481382-5;6704.51
319;gvasilmanov0;837274956-6;2085.14
320;aepelett6;671688460-2;7519.78
321;gvasilmanov0;724222419-5;8382.78
322;ksandcroft1;236198775-9;5486.55
323;gvasilmanov0;236198775-9;9925.26
324;nbernholt7;671688460-2;7852.96
325;rmarchenko8;244174503-4;4875.33
326;rmarchenko8;369814086-1;9652.65
327;ahenaughan3;671688460-2;7034.44
328;gvasilmanov0;921481382-5;8764.43
329;nbernholt7;724222419-5;5637.47
330;aroyle4;604150177-8;8607.71
331;aepelett6;236198775-9;557.11
332;jesparza2;671688460-2;6686.44
333;gvasilmanov0;017137369-3;6280.06
334;aepelett6;921481382-5;9137.42
335;jesparza2;724222419-5;5805.32
336;ahenaughan3;244174503-4;5826.16
337;aroyle4;837274956-6;6497.03
338;rmarchenko8;671688460-2;3979.07
339;aroyle4;671688460-2;1230.79
340;ahenaughan3;724222419-5;9964.59
341;cmayes5;236198775-9;2062.13
342;clangstaff9;017137369-3;883.62
343;aroyle4;244174503-4;560.36
344;ahenaughan3;244174503-4;6467.44
345;gvasilmanov0;408840891-8;6098.94
346;ksandcroft1;236198775-9;8177.06
347;aroyle4;236198775-9;8902.22
348;aepelett6;408840891-8;5326.78
349;cmayes5;236198775-9;3210.21
350;rmarchenko8;244174503-4;5888
351;ahenaughan3;671688460-2;8695.48
352;nbernholt7;408840891-8;4027.75
353;rmarchenko8;244174503-4;8214.05
354;clangstaff9;369814086-1;6687.23
355;cmayes5;017137369-3;9317.36
356;clangstaff9;837274956-6;8964.7
357;cmayes5;369814086-1;8580.55
358;aroyle4;408840891-8;6258.75
359;aepelett6;671688460-2;4389.79
360;ahenaughan3;017137369-3;2048.76
361;aroyle4;236198775-9;5563.58
362;rmarchenko8;671688460-2;3578.09
363;rmarchenko8;408840891-8;8902.6
364;cmayes5;921481382-5;9921.58
365;nbernholt7;017137369-3;576.08
366;clangstaff9;017137369-3;8147.11
367;gvasilmanov0;604150177-8;8405.6
368;aroyle4;236198775-9;7000.86
369;rmarchenko8;017137369-3;5227.11
370;gvasilmanov0;408840891-8;2449.28
371;jesparza2;921481382-5;4108.46
372;rmarchenko8;244174503-4;6980.99
373;nbernholt7;369814086-1;5663.3
374;cmayes5;408840891-8;800.13
375;jesparza2;236198775-9;8618.75
376;nbernholt7;236198775-9;3840.39
377;clangstaff9;604150177-8;5686.75
378;aroyle4;017137369-3;6019.86
379;aroyle4;236198775-9;775.74
380;ahenaughan3;017137369-3;3654.65
381;rmarchenko8;724222419-5;2599.77
382;nbernholt7;604150177-8;3378.16
383;gvasilmanov0;604150177-8;665.58
384;jesparza2;236198775-9;2250.02
385;clangstaff9;724222419-5;7473.98
386;rmarchenko8;408840891-8;5286.48
387;jesparza2;236198775-9;2388.17
388;ahenaughan3;837274956-6;2700.4
389;clangstaff9;017137369-3;7007.05
390;gvasilmanov0;837274956-6;7002.8
391;aroyle4;837274956-6;5840.39
392;rmarchenko8;017137369-3;5134.58
393;clangstaff9;921481382-5;5824.25
394;cmayes5;724222419-5;9699.72
395;rmarchenko8;408840891-8;460.21
396;ahenaughan3;671688460-2;6489.79
397;cmayes5;017137369-3;4958.3
398;ahenaughan3;244174503-4;4252.82
399;aroyle4;244174503-4;5685.83
400;jesparza2;921481382-5;9703.67
401;gvasilmanov0;671688460-2;2873.08
402;cmayes5;369814086-1;1510.2
403;ksandcroft1;017137369-3;7430.5
404;gvasilmanov0;017137369-3;1008.21
405;rmarchenko8;017137369-3;7202.4
406;nbernholt7;244174503-4;5788.83
407;ksandcroft1;921481382-5;8230.93
408;aroyle4;604150177-8;2945.73
409;aepelett6;408840891-8;4911.1
410;rmarchenko8;724222419-5;6496.92
411;ahenaughan3;604150177-8;6364.27
412;gvasilmanov0;017137369-3;245.43
413;aroyle4;408840891-8;1652.57
414;clangstaff9;244174503-4;4727.13
415;ksandcroft1;921481382-5;6067.52
416;jesparza2;921481382-5;175.25
417;ahenaughan3;671688460-2;8398.59
418;ksandcroft1;671688460-2;9696.88
419;gvasilmanov0;236198775-9;5796.54
420;nbernholt7;236198775-9;9659.62
421;nbernholt7;017137369-3;5793.82
422;cmayes5;837274956-6;5900.7
423;gvasilmanov0;408840891-8;7310.91
424;cmayes5;244174503-4;8512.09
425;cmayes5;236198775-9;5724.43
426;aepelett6;921481382-5;2097.36
427;jesparza2;017137369-3;7428.11
428;rmarchenko8;604150177-8;496.99
429;ahenaughan3;236198775-9;7227.52
430;nbernholt7;921481382-5;4422.88
431;gvasilmanov0;724222419-5;6714.49
432;aepelett6;236198775-9;2131.86
433;aroyle4;244174503-4;2983.89
434;nbernholt7;837274956-6;3158.08
435;cmayes5;724222419-5;7177.91
436;clangstaff9;671688460-2;7970.47
437;aepelett6;604150177-8;5507.63
438;ahenaughan3;921481382-5;1992
439;gvasilmanov0;837274956-6;1591.26
440;aroyle4;724222419-5;1883.97
441;aepelett6;408840891-8;150.1
442;cmayes5;837274956-6;4893.52
443;aroyle4;236198775-9;5812.58
444;ahenaughan3;837274956-6;865.53
445;clangstaff9;236198775-9;1917.18
446;aroyle4;017137369-3;1777.96
447;nbernholt7;604150177-8;8724.8
448;clangstaff9;671688460-2;9636.5
449;ahenaughan3;671688460-2;9116.77
450;ksandcroft1;837274956-6;4031.88
451;ksandcroft1;244174503-4;7508.57
452;aepelett6;369814086-1;6568.97
453;jesparza2;724222419-5;3279.29
454;ksandcroft1;236198775-9;8483.63
455;aepelett6;671688460-2;8663.55
456;nbernholt7;604150177-8;5252.51
457;aroyle4;236198775-9;5027.7
458;ahenaughan3;236198775-9;7126.56
459;ksandcroft1;369814086-1;5177.86
460;ahenaughan3;724222419-5;7392.39
461;aroyle4;604150177-8;3913.2
462;ahenaughan3;724222419-5;1130.82
463;jesparza2;244174503-4;2433.43
464;clangstaff9;837274956-6;3563.08
465;clangstaff9;921481382-5;4271.99
466;jesparza2;671688460-2;3572.41
467;clangstaff9;369814086-1;4280.76
468;gvasilmanov0;671688460-2;5404.45
469;aroyle4;244174503-4;1235.52
470;clangstaff9;236198775-9;9161.03
471;ahenaughan3;837274956-6;385.14
472;gvasilmanov0;671688460-2;3004.91
473;cmayes5;369814086-1;6679.1
474;gvasilmanov0;671688460-2;8661.66
475;ahenaughan3;604150177-8;7481.2
476;cmayes5;604150177-8;8745.72
477;aepelett6;837274956-6;3639.07
478;ksandcroft1;408840891-8;4552.35
479;ksandcroft1;017137369-3;9327.06
480;aepelett6;837274956-6;8697.69
481;aroyle4;369814086-1;9370.09
482;clangstaff9;837274956-6;7390.02
483;aepelett6;236198775-9;2121.07
484;clangstaff9;244174503-4;6830.78
485;nbernholt7;369814086-1;3604.5
486;clangstaff9;244174503-4;3787.05
487;cmayes5;604150177-8;1888.47
488;rmarchenko8;724222419-5;7703.46
489;jesparza2;921481382-5;3474
490;gvasilmanov0;408840891-8;4509.87
491;cmayes5;017137369-3;8882.03
492;gvasilmanov0;724222419-5;6861.81
493;jesparza2;244174503-4;1239.15
494;rmarchenko8;604150177-8;7711.86
495;ksandcroft1;369814086-1;8724.32
496;gvasilmanov0;671688460-2;1178.92
497;jesparza2;837274956-6;6935.33
498;ksandcroft1;837274956-6;9482.34
499;ksandcroft1;724222419-5;1289.63
500;nbernholt7;369814086-1;7927.01
501;gvasilmanov0;244174503-4;9190.14
502;aepelett6;017137369-3;2139.99
503;gvasilmanov0;236198775-9;7522.77
504;nbernholt7;236198775-9;7715.97
505;nbernholt7;837274956-6;3876.02
506;cmayes5;369814086-1;5310.65
507;clangstaff9;017137369-3;9960.31
508;nbernholt7;236198775-9;4099.46
509;ksandcroft1;604150177-8;6873.53
510;nbernholt7;017137369-3;6101.9
511;ahenaughan3;236198775-9;8347.12
512;ksandcroft1;244174503-4;9297.43
513;clangstaff9;017137369-3;6543.72
514;jesparza2;837274956-6;2319.96
515;clangstaff9;408840891-8;3008
516;nbernholt7;837274956-6;416.76
517;jesparza2;369814086-1;31.46
518;clangstaff9;236198775-9;8455.92
519;rmarchenko8;244174503-4;1886.33
520;ahenaughan3;408840891-8;9622.51
521;ahenaughan3;724222419-5;9443.82
522;aepelett6;369814086-1;1286.8
523;aepelett6;236198775-9;9990.19
524;aroyle4;837274956-6;9544.5
525;jesparza2;369814086-1;2205.8
526;aepelett6;017137369-3;2637.19
527;jesparza2;921481382-5;7602.35
528;cmayes5;244174503-4;7436.87
529;nbernholt7;837274956-6;3073.18
